NodeId,InterfaceId,DateTime,InAveragebps,OutAveragebps,InTotalBytes,OutTotalBytes
3619,174043,2015-02-15 02:51:55.140,2849607,75565.87,2.137205E+07,566744
3619,174043,2015-02-15 02:52:55.140,353500,16683.6,2651250,125127
3619,174043,2015-02-15 02:53:55.140,527208,35435.2,3954060,265764
3619,174043,2015-02-15 02:54:55.173,515123,24980.87,3865433,187454
3619,174043,2015-02-15 02:55:55.157,6001452,134200.1,4.499916E+07,1006239
3619,174043,2015-02-15 02:56:56.173,6092518,135065.5,4.646735E+07,1030138
3619,174043,2015-02-15 02:57:55.157,2865111,69592.13,2.11246E+07,513106
3619,174043,2015-02-15 02:58:55.157,498550.4,34202.67,3739128,256520
3619,174043,2015-02-15 02:59:55.167,450308,22969.63,3377914,172303
3619,174043,2015-02-15 03:00:55.167,330906.7,20631.73,2481800,154738
3619,174043,2015-02-15 03:01:55.167,6056913,160283.2,4.542685E+07,1202124
3619,174043,2015-02-15 03:03:00.980,5312916,121571.8,4.370704E+07,1000118
3619,174043,2015-02-15 03:04:01.307,3235201,83642.45,2.43967E+07,630749
3619,174043,2015-02-15 03:05:03.333,271324.8,18691.1,2103594,144913
3619,174043,2015-02-15 03:06:03.230,458863.2,20363.94,3435648,152471
3619,174043,2015-02-15 03:07:03.230,396670.5,16524.4,2975029,123933
3619,174043,2015-02-15 03:08:03.237,5967395,151877.4,4.475901E+07,1139171
3619,174043,2015-02-15 03:09:03.313,5215734,117808.5,3.916759E+07,884684
3619,174043,2015-02-15 03:10:03.267,2897916,76842.1,2.171843E+07,575893
3619,174043,2015-02-15 03:11:03.277,1498121,52850.53,1.123735E+07,396430
3619,174043,2015-02-15 03:12:03.273,359596.5,14918.24,2696882,111883
3619,174043,2015-02-15 03:13:03.280,480164,23994.24,3601534,179972
3619,174043,2015-02-15 03:14:03.303,6077653,151821.3,4.560147E+07,1139136
3619,174043,2015-02-15 03:15:03.323,6074516,150181.2,4.557274E+07,1126702
3619,174043,2015-02-15 03:16:03.333,2985311,91021.84,2.239446E+07,682805
3619,174043,2015-02-15 03:17:03.343,552425.4,26982.94,4143845,202404
3619,174043,2015-02-15 03:18:03.340,340886.1,18241.68,2556485,136804
3619,174043,2015-02-15 03:19:03.353,313576.3,13135.62,2352344,98539
3619,174043,2015-02-15 03:20:03.407,5983834,136453.9,4.491866E+07,1024314
3619,174043,2015-02-15 03:21:03.390,6164817,138598.2,4.622231E+07,1039176
3619,174043,2015-02-15 03:22:03.403,2729759,72327.54,2.047774E+07,542577
3619,174043,2015-02-15 03:23:03.433,141138.7,8537.079,1059068,64060
3619,174043,2015-02-15 03:24:03.430,547027.4,18124.23,4102653,135930
3619,174043,2015-02-15 03:25:03.433,531823.4,30594.07,3988754,229460
3619,174043,2015-02-15 03:26:03.463,4663270,102960,3.499229E+07,772592
3619,174043,2015-02-15 03:27:03.463,5575417,145057.9,4.181509E+07,1087920
3619,174043,2015-02-15 03:28:03.477,4903934,109421.8,3.678876E+07,820870
3619,174043,2015-02-15 03:29:03.493,442086.3,19697.13,3316489,147766
3619,174043,2015-02-15 03:30:03.523,520178.5,26408.82,3903345,198168
3619,174043,2015-02-15 03:31:03.523,615467.3,27709.64,4615975,207821
3619,174043,2015-02-15 03:32:03.553,6188134,151426.4,4.643488E+07,1136282
3619,174043,2015-02-15 03:33:03.553,5923173,127761.6,4.442369E+07,958210
3619,174043,2015-02-15 03:34:03.553,2773109,62227.33,2.079832E+07,466705
3619,174043,2015-02-15 03:35:03.560,474878.8,28620.95,3561938,214678
3619,174043,2015-02-15 03:36:03.560,451331.9,20586.8,3384989,154401
3619,174043,2015-02-15 03:37:03.560,503106.5,24970,3773299,187275
3619,174043,2015-02-15 03:38:03.980,6043515,156073.8,4.564506E+07,1178784
3619,174043,2015-02-15 03:39:03.980,5990375,136318.1,4.492781E+07,1022386
3619,174043,2015-02-15 03:40:03.983,3023374,75961.45,2.267567E+07,569720
3619,174043,2015-02-15 03:41:03.997,404017.1,29166.1,3030769,218792
3619,174043,2015-02-15 03:42:04.010,559343.3,31718.14,4196167,237948
3619,174043,2015-02-15 03:43:03.997,276551.1,13309.2,2073593,99793
3619,174043,2015-02-15 03:44:03.997,6137861,136146.1,4.603395E+07,1021096
3619,174043,2015-02-15 03:45:03.997,6104731,147178.5,4.578769E+07,1103892
3619,174043,2015-02-15 03:46:03.997,3081425,71388.27,2.311069E+07,535412
3619,174043,2015-02-15 03:47:03.997,453689.6,16286.53,3402672,122149
3619,174043,2015-02-15 03:48:03.997,405001.1,19088.67,3037508,143165
3619,174043,2015-02-15 03:49:03.997,517331.9,38455.87,3879989,288419
3619,174043,2015-02-15 03:50:04.323,6080586,140744.6,4.585082E+07,1061288
3619,174043,2015-02-15 03:51:07.323,5796022,135881.7,4.564367E+07,1070068
