NodeId,DateTime,AvgLoad,AvgMemoryUsed,AvgPercentMemoryUsed
19,2015-02-16 00:43:32.873,9,3.141366E+09,49.27751
19,2015-02-16 00:53:32.880,9,3.141439E+09,49.27867
19,2015-02-16 01:03:32.890,9,3.141705E+09,49.28272
19,2015-02-16 01:13:32.893,9,3.14121E+09,49.27507
19,2015-02-16 01:23:32.897,9,3.141468E+09,49.27912
19,2015-02-16 01:33:32.900,9,3.141521E+09,49.27995
19,2015-02-16 01:43:32.903,9,3.141259E+09,49.27584
19,2015-02-16 01:53:32.917,9,3.141214E+09,49.27514
19,2015-02-16 02:03:32.927,9,3.141468E+09,49.27912
19,2015-02-16 02:13:33.210,9,3.140968E+09,49.27128
19,2015-02-16 02:23:33.227,9,3.141542E+09,49.28027
19,2015-02-16 02:33:33.240,9,3.14171E+09,49.28291
19,2015-02-16 02:43:33.250,9,3.141251E+09,49.27571
19,2015-02-16 02:53:33.253,9,3.141329E+09,49.27693
19,2015-02-16 03:03:33.260,9,3.141578E+09,49.28085
19,2015-02-16 03:13:33.267,9,3.141185E+09,49.27468
19,2015-02-16 03:23:33.280,9,3.141464E+09,49.27905
19,2015-02-16 03:33:33.280,9,3.141652E+09,49.28201
19,2015-02-16 03:43:33.293,9,3.141038E+09,49.27237
19,2015-02-16 03:53:33.293,9,3.141402E+09,49.27809
19,2015-02-16 04:03:33.297,9,3.141763E+09,49.28374
19,2015-02-16 04:13:33.310,9,3.141288E+09,49.27629
19,2015-02-16 04:23:33.317,9,3.141603E+09,49.28124
19,2015-02-16 04:33:33.327,9,3.141591E+09,49.28104
19,2015-02-16 04:43:33.333,9,3.141165E+09,49.27436
19,2015-02-16 04:53:33.337,9,3.141333E+09,49.277
19,2015-02-16 05:03:33.340,9,3.141566E+09,49.28066
19,2015-02-16 05:13:33.353,9,3.141357E+09,49.27738
19,2015-02-16 05:23:33.370,9,3.141783E+09,49.28407
19,2015-02-16 05:33:33.387,9,3.14182E+09,49.28464
19,2015-02-16 05:43:33.393,9,3.141112E+09,49.27353
19,2015-02-16 05:53:33.403,9,3.141435E+09,49.27848
19,2015-02-16 06:03:33.403,10,3.141632E+09,49.28169
19,2015-02-16 06:13:33.410,9,3.141411E+09,49.27822
19,2015-02-16 06:23:33.417,9,3.141542E+09,49.28027
19,2015-02-16 06:33:33.717,9,3.141599E+09,49.28117
19,2015-02-16 06:43:33.730,9,3.141148E+09,49.27411
19,2015-02-16 06:53:33.737,9,3.141509E+09,49.27976
19,2015-02-16 07:03:33.747,9,3.141853E+09,49.28516
19,2015-02-16 07:13:33.753,9,3.141419E+09,49.27835
19,2015-02-16 07:23:33.767,9,3.141685E+09,49.28252
19,2015-02-16 07:33:33.773,10,3.141869E+09,49.28542
19,2015-02-16 07:43:33.777,10,3.141378E+09,49.2777
19,2015-02-16 07:53:33.787,9,3.141558E+09,49.28053
19,2015-02-16 08:03:33.790,9,3.141665E+09,49.2822
19,2015-02-16 08:13:33.803,9,3.141165E+09,49.27436
19,2015-02-16 08:23:33.810,9,3.141767E+09,49.28381
19,2015-02-16 08:33:33.820,9,3.141894E+09,49.2858
19,2015-02-16 08:43:33.823,9,3.141202E+09,49.27494
19,2015-02-16 08:53:33.823,9,3.141505E+09,49.27969
19,2015-02-16 09:03:33.837,9,3.141742E+09,49.28342
19,2015-02-16 09:13:33.847,10,3.142443E+09,49.29441
19,2015-02-16 09:23:33.857,9,3.139289E+09,49.24493
19,2015-02-16 09:33:33.863,10,3.142496E+09,49.29525
19,2015-02-16 09:43:33.873,9,3.142271E+09,49.29171
19,2015-02-16 09:53:33.887,9,3.142533E+09,49.29582
19,2015-02-16 10:03:33.900,9,3.139408E+09,49.2468
19,2015-02-16 10:13:33.910,9,3.13899E+09,49.24025
19,2015-02-16 10:23:33.930,9,3.142521E+09,49.29563
19,2015-02-16 10:33:33.937,9,3.142406E+09,49.29383
19,2015-02-16 10:43:33.943,9,3.138896E+09,49.23877
19,2015-02-16 10:53:33.953,9,3.139313E+09,49.24532
19,2015-02-16 11:03:33.970,9,3.139453E+09,49.24751
19,2015-02-16 11:13:33.980,9,3.138949E+09,49.2396
19,2015-02-16 11:23:33.993,9,3.139637E+09,49.2504
19,2015-02-16 11:33:34.010,9,3.139383E+09,49.24641
19,2015-02-16 11:43:34.023,9,3.13883E+09,49.23774
19,2015-02-16 11:53:34.027,9,3.13924E+09,49.24416
19,2015-02-16 12:03:34.030,10,3.139047E+09,49.24114
19,2015-02-16 12:13:34.040,9,3.139006E+09,49.2405
19,2015-02-16 12:23:34.047,9,3.139203E+09,49.24358
19,2015-02-16 12:33:34.060,9,3.139084E+09,49.24172
19,2015-02-16 12:43:34.067,9,3.139121E+09,49.2423
19,2015-02-16 12:53:34.097,9,3.139387E+09,49.24648
19,2015-02-16 13:03:34.103,9,3.139391E+09,49.24654
19,2015-02-16 13:13:34.110,9,3.142226E+09,49.291
19,2015-02-16 13:23:34.117,9,3.146105E+09,49.35185
19,2015-02-16 13:33:34.127,9,3.145335E+09,49.33965
19,2015-02-16 13:43:34.140,9,3.142574E+09,49.29647
19,2015-02-16 13:53:34.147,9,3.14234E+09,49.2928
19,2015-02-16 14:03:34.237,9,3.145421E+09,49.34112
19,2015-02-16 14:13:34.240,9,3.145625E+09,49.34433
19,2015-02-16 14:23:34.243,11,3.149029E+09,49.39773
19,2015-02-16 14:33:34.253,10,3.146465E+09,49.35751
19,2015-02-16 14:43:34.263,11,3.146641E+09,49.36027
19,2015-02-16 14:53:34.293,9,3.14266E+09,49.29781
19,2015-02-16 15:03:34.307,9,3.145674E+09,49.3451
19,2015-02-16 15:13:34.307,9,3.142742E+09,49.29913
19,2015-02-16 15:23:34.323,9,3.139432E+09,49.24718
19,2015-02-16 15:33:34.323,9,3.139494E+09,49.24815
19,2015-02-16 15:43:34.327,9,3.139506E+09,49.24834
19,2015-02-16 15:53:34.340,9,3.139391E+09,49.24654
19,2015-02-16 16:03:34.347,9,3.139756E+09,49.25226
19,2015-02-16 16:13:34.353,9,3.139293E+09,49.245
19,2015-02-16 16:23:34.360,9,3.139559E+09,49.24918
19,2015-02-16 16:33:34.373,9,3.139543E+09,49.24892
19,2015-02-16 16:43:34.380,9,3.139629E+09,49.25027
19,2015-02-16 16:53:34.390,9,3.13933E+09,49.24558
19,2015-02-16 17:03:34.597,9,3.13951E+09,49.24841
19,2015-02-16 17:13:34.600,9,3.139621E+09,49.25014
19,2015-02-16 17:23:34.613,9,3.13969E+09,49.25123
19,2015-02-16 17:33:34.690,10,3.139846E+09,49.25355
19,2015-02-16 17:43:34.697,9,3.139657E+09,49.25072
19,2015-02-16 17:53:34.703,9,3.139563E+09,49.24924
19,2015-02-16 18:03:34.717,9,3.1396E+09,49.24982
19,2015-02-16 18:13:34.733,9,3.139801E+09,49.25297
19,2015-02-16 18:23:34.747,10,3.140837E+09,49.26922
19,2015-02-16 18:33:34.750,9,3.141239E+09,49.27552
19,2015-02-16 18:43:34.760,9,3.140997E+09,49.27173
19,2015-02-16 18:53:34.767,9,3.141071E+09,49.27288
19,2015-02-16 19:03:34.780,9,3.141419E+09,49.27835
19,2015-02-16 19:13:34.783,9,3.14071E+09,49.26723
19,2015-02-16 19:23:34.787,9,3.14121E+09,49.27507
19,2015-02-16 19:33:34.800,9,3.14121E+09,49.27507
19,2015-02-16 19:43:34.800,9,3.140845E+09,49.26935
19,2015-02-16 19:53:34.813,9,3.140993E+09,49.27166
19,2015-02-16 20:03:34.823,9,3.141226E+09,49.27533
19,2015-02-16 20:13:34.833,9,3.140731E+09,49.26755
19,2015-02-16 20:23:34.837,9,3.141279E+09,49.27616
19,2015-02-16 20:33:34.837,9,3.14146E+09,49.27899
19,2015-02-16 20:43:34.850,9,3.144188E+09,49.32178
19,2015-02-16 20:53:34.860,9,3.144519E+09,49.32698
19,2015-02-16 21:03:34.867,9,3.141361E+09,49.27745
19,2015-02-16 21:13:35.130,9,3.140927E+09,49.27064
